"Name","AVG","OBP","SLG","PA","BB%","K%","BB/K","HR/FB","LD%","wRAA","BUH%","IFH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","BABIP","playerid"
"Max Muncy",".263",".391",".582","481","16.4 %","27.2 %","0.60","29.4 %","20.8 %","36.2","0.0 %","5.5 %","44.7 %","31.2 %","24.1 %","12.4 %","40.2 %","47.4 %",".299","13301"
"Justin Turner",".312",".406",".518","426","11.0 %","12.7 %","0.87","10.1 %","26.2 %","28.2","0.0 %","6.5 %","39.0 %","31.6 %","29.4 %","10.9 %","44.1 %","45.1 %",".334","5235"
"Yasmani Grandal",".241",".349",".466","518","13.9 %","23.9 %","0.58","18.0 %","17.2 %","15.6","0.0 %","2.3 %","48.3 %","32.9 %","18.8 %","19.8 %","39.5 %","40.8 %",".278","11368"
"Yasiel Puig",".267",".327",".494","444","8.1 %","19.6 %","0.41","20.0 %","21.3 %","12.3","0.0 %","8.8 %","41.9 %","35.0 %","23.1 %","24.1 %","37.5 %","38.4 %",".286","14225"
"Manny Machado",".297",".367",".538","709","9.9 %","14.7 %","0.67","16.4 %","17.8 %","35.9","0.0 %","4.2 %","38.1 %","36.2 %","25.7 %","17.5 %","43.9 %","38.7 %",".304","11493"
"Cody Bellinger",".260",".343",".470","632","10.9 %","23.9 %","0.46","15.2 %","19.9 %","15.7","0.0 %","11.0 %","45.2 %","32.0 %","22.7 %","18.1 %","41.8 %","40.1 %",".313","15998"
"Enrique Hernandez",".256",".336",".470","462","10.8 %","16.9 %","0.64","14.6 %","18.6 %","10.2","20.0 %","3.3 %","43.2 %","35.1 %","21.6 %","19.5 %","45.1 %","35.4 %",".266","10472"
"Chris Taylor",".254",".331",".444","604","9.1 %","29.5 %","0.31","12.1 %","27.5 %","9.8","50.0 %","10.7 %","37.9 %","34.3 %","27.9 %","13.3 %","48.3 %","38.4 %",".345","13757"
"Walker Buehler",".163",".200",".163","47","4.3 %","44.7 %","0.10","0.0 %","19.0 %","-5.6","0.0 %","12.5 %","12.5 %","33.3 %","54.2 %","20.8 %","50.0 %","29.2 %",".318","19374"

